 # Created by Jason Melbourne November 24 2012, Data from Politico 
 # Col 1: state: State 
 # Col 2: district: district number 
 # Col 3: party: Held by Party 
 # Col 4: demVote: Democratic Vote 
 # Col 5: repVote: Republican Vote 
 state	district	party	demVote	repVote 
michigan               10    R      98058     226151 
michigan               11    R     158889     181796 
michigan               12    D     159267     151740 
michigan               13    D     216537      92305 
michigan               14    D     235258      38765 
michigan               15    D     270184      51395 
minnesota               1    D     193209     142159 
minnesota               2    R     164335     193586 
minnesota               3    R     159936     222333 
minnesota               4    D     216680     109656 
minnesota               5    D     262101      88753 
minnesota               6    R     175923     180131 
minnesota               7    D     197540     114102 
minnesota               8    D     192748     161113 
mississippi             1    R     107938     178594 
mississippi             2    D     199554      90861 
mississippi             3    R      55703     223596 
mississippi             4    R      77041     173576 
missouri                1    D     264836      60306 
missouri                2    R     145257     235607 
missouri                3    R     111116     214660 
missouri                4    R     113044     192166 
missouri                5    D     196467     121437 
missouri                6    R     108414     216721 
missouri                7    R      98384     203358 
missouri                8    R      73720     215975 
montana                 1    R     203748     252707 
nebraska                1    R      78732     171385 
nebraska                2    R     121165     127119 
nebraska                3    R      64257     184978 
nevada                  1    D     113377      56357 
nevada                  2    R     101594     161915 
nevada                  3    R     116385     136905 
nevada                  4    D     120096     101136 
new-hampshire           1    D     171356     158482 
new-hampshire           2    D     168954     151858 
new-jersey              1    D     194303      86820 
new-jersey              2    R     108288     156799 
new-jersey              3    R     134599     161452 
new-jersey              4    R      86380     189548 
new-jersey              5    R     117973     154359 
new-jersey              6    D     141852      79128 
new-jersey              7    R     116445     167736 
new-jersey              8    D     118904      28810 
new-jersey              9    D     146939      50772 
new-jersey             10    D     154365       4090 
new-jersey             11    D     185196      23015 
new-jersey             12    R     113554     167368 
new-jersey             13    D     177238      76824 
new-mexico              1    D     159275     110370 
new-mexico              2    R      91561     132250 
new-mexico              3    D     164620      96837 
new-york                1    D     132525     121478 
new-york                2    R      92060     131091 
new-york                3    D     136687      99183 
new-york                4    D     138561      72673 
new-york                5    D     146278      15640 
new-york                6    D     100571      46305 
new-york                7    D     116873       6823 
new-york                8    D     159463      15546 
new-york                9    D     165201      21984 
new-york               10    D     145381      34848 
new-york               11    R      82401      94102 
new-york               12    D     158834      37580 
new-york               13    D     152592      10546 
new-york               14    D     108436      19934 
new-york               15    D     132505       3983 
new-york               16    D     137213      37860 
new-york               17    D     139876      75736 
new-york               18    D     130462     121911 
new-york               19    R     120661     138657 
new-york               20    D     188055      86740 
new-york               21    D     115883     110804 
new-york               22    R      93681     146055 
new-york               23    R     117055     126519 
new-york               24    D     130969     118578 
new-york               25    D     166342     124585 
new-york               26    D     197799      67209 
new-york               27    R     146134     150446 
north-carolina          1    D     250948      76558 
north-carolina          2    R     129307     174565 
north-carolina          3    R     112546     192976 
north-carolina          4    D     265432      91512 
north-carolina          5    R     147649     200083 
north-carolina          6    R     141214     220296 
north-carolina          7    D     167590     167057 
north-carolina          8    R     134891     159226 
north-carolina          9    R     170462     193174 
north-carolina         10    R     142822     189667 
north-carolina         11    R     140216     189289 
north-carolina         12    D     246451      62924 
north-carolina         13    R     169637     225791 
north-dakota            1    R     131396     172905 
ohio                    1    R     125030     196783 
ohio                    2    R     131256     189400 
ohio                    3    D     188831      74938 
ohio                    4    R     110663     179458 
ohio                    5    R     133471     197435 
ohio                    6    R     139438     159621 
ohio                    7    R     133686     174826 
ohio                    8    R          0          0 
ohio                    9    D     206763      66844 
ohio                   10    R     124079     202166 
ohio                   11    D          0          0 
ohio                   12    R     129259     227079 
ohio                   13    D     227032      86261 
ohio                   14    R     127467     179704 
ohio                   15    R     123201     199598 
ohio                   16    R     165638     181137 
oklahoma                1    R      91310     180886 
oklahoma                2    R      95763     143253 
oklahoma                3    R      53295     200963 
oklahoma                4    R      71755     176561 
oklahoma                5    R      97359     153421 
oregon                  1    D     186060     103194 
oregon                  2    R      93451     222575 
oregon                  3    D     257460      68839 
oregon                  4    D     208906     138351 
oregon                  5    D     173620     136620 
pennsylvania            1    D     225985      39736 
pennsylvania            2    D     301869      31648 
pennsylvania            3    R     120142     160149 
pennsylvania            4    R     103387     179340 
pennsylvania            5    R     101615     172042 
pennsylvania            6    R     138688     183647 
pennsylvania            7    R     139067     203977 
pennsylvania            8    R     152515     199283 
pennsylvania            9    R     103420     166038 
pennsylvania           10    R      91355     176273 
pennsylvania           11    R     116315     163733 
pennsylvania           12    R     161397     173340 
pennsylvania           13    D     204686      92308 
pennsylvania           14    D     249012      74955 
pennsylvania           15    R     126661     165629 
pennsylvania           16    R     109026     154337 
pennsylvania           17    D     157629     102754 
pennsylvania           18    R     119791     212712 
rhode-island            1    D     106044      84018 
rhode-island            2    D     121556      76852 
south-carolina          1    R     100351     176738 
south-carolina          2    R          0          0 
south-carolina          3    R      84312     168780 
south-carolina          4    R      89094     171505 
south-carolina          5    R     122268     153047 
south-carolina          6    D     213953      12713 
south-carolina          7    R     121418     147750 
south-dakota            1    R     153725     207581 
tennessee               1    R      47597     182186 
tennessee               2    R      53336     193312 
tennessee               3    R      91031     157725 
tennessee               4    R     101944     128500 
tennessee               5    D     166999      83982 
tennessee               6    R      34746     184264 
tennessee               7    R      61050     180775 
tennessee               8    R      79347     190571 
tennessee               9    D     188245      59676 
texas                   1    R      67758     182621 
texas                   2    R      80262     159369 
texas                   3    R          0          0 
texas                   4    R      60124     182416 
texas                   5    R      69025     134005 
texas                   6    R      97933     144892 
texas                   7    R      85253     142477 
texas                   8    R      50077     191254 
texas                   9    D     143850      36073 
texas                  10    R      95316     159391 
texas                  11    R      41842     177166 
texas                  12    R      65991     175298 
texas                  13    R      12671     187385 
texas                  14    R     109264     130937 
texas                  15    D      89143      53892 
texas                  16    D     100804      50478 
texas                  17    R      35902     143126 
texas                  18    D     145893      43926 
texas                  19    R      28345     160067 
texas                  20    D     118719      62041 
texas                  21    R     108852     186525 
texas                  22    R      80025     160471 
texas                  23    D      96477      87255 
texas                  24    R      87347     148207 
texas                  25    R      98427     153868 
texas                  26    R      73661     175669 
texas                  27    R      83280     120490 
texas                  28    D     112262      49095 
texas                  29    D      85920       4988 
texas                  30    D     169889      40841 
texas                  31    R      82791     145096 
texas                  32    R      98867     146129 
texas                  33    D      84940      30152 
texas                  34    D      88781      51338 
texas                  35    D     105260      52686 
texas                  36    R      62052     165388 
utah                    1    R      55740     161546 
utah                    2    R      75399     139860 
utah                    3    R      55879     180760 
utah                    4    D     108275     105629 
vermont                 1    D     209271      67511 
virginia                1    R     146844     200736 
virginia                2    R     141697     164977 
virginia                3    D     246155      57007 
virginia                4    R     149504     198999 
virginia                5    R     149906     192020 
virginia                6    R     109929     209701 
virginia                7    R     157249     222345 
virginia                8    D     210347      99964 
virginia                9    R     115972     183278 
virginia               10    R     131875     201937 
virginia               11    D     176686     102970 
washington              1    D     161018     139199 
washington              2    D     197502     130721 
washington              3    D     169097     108785 
washington              4    R     110974     167322 
washington              5    R      72189     144790 
washington              6    R     108548     177481 
washington              7    D     178701     124378 
washington              8    D     268234      69332 
washington              9    R     114047     170595 
washington             10    D     175273      70126 
washington             11    D     153066     109784 
west-virginia           1    R      78474     130783 
west-virginia           2    R      67965     156920 
west-virginia           3    D     107302      91602 
wisconsin               1    R     157721     199715 
wisconsin               2    D     264790     124465 
wisconsin               3    D     217328     121536 
wisconsin               4    D     234823      80637 
wisconsin               5    R     117972     249267 
wisconsin               6    R     136146     223514 
wisconsin               7    R     157340     201318 
wisconsin               8    R     156371     198464 
wyoming                 1    R      57148     165773 
